web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1596581776-767","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tankorz","Fantastic, ultimately impressed","Calificado en Estados Unidos el 20 de abril de 2016","This is the cats meow screen protector. Seriously. It comes with guide tape (read the instructions you put them on correctly!!!) and all sorts of ways to clean the screen prior to putting the screen protector on. And the packaging is exceptional! Its thin and light weight, does not interfere with any function including Apple Pencil!

Edit - it took a few days for the last bubble to go away and now its smooth as can be! Totally love it!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&pageNumber=77&reviewerType=all_reviews"
"1596582458-3512","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Janie","Seems durable and fits well","Calificado en Estados Unidos el 29 de agosto de 2018","It was simple to install and seems to be durable. The fit is perfect. I’ve only had it on my IPad 2 days so I will update if something changes.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_352?ie=UTF8&pageNumber=352&reviewerType=all_reviews"
"1596582482-3616","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","bonnie","Take your time, you will get it.","Calificado en Estados Unidos el 19 de octubre de 2018","I have put screen protectors on several items so I have learned a few things, but this was quick and easy! I did need to peel it back up a little to reapply and use a gift card to smooth it out as I placed it back... not 1 bubble!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_362?ie=UTF8&pageNumber=362&reviewerType=all_reviews"
"1596581711-479","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","W. Norris","Cracked after 3 days on the sofa","Calificado en Estados Unidos el 16 de enero de 2019","Purchased this and installed it on a brand new iPad.  The second the plastic came off the new iPad, this went on, so no dust, oils, etc.

Installation was each and I had no problems.  No air bubbles, dust or anything like that.  I put the iPad inside a protective case.  The iPad never left my sofa and was never dropped or hit.  3 days in, there was a crack on the upper left side of the screen protector.

It is in the middle of the class, and doesn't even run to an edge.  It just starts around the 3rd row of icons and runs straight up to the 1st row of icons and stops.

3 days...","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&pageNumber=48&reviewerType=all_reviews"
"1596582567-3975","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","BJSC","No bubbles!","Calificado en Estados Unidos el 31 de agosto de 2017","No bubbles! This came with a multistep application kit, and it went on super smooth. I can't tell its on my iPad Air 2.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_398?ie=UTF8&pageNumber=398&reviewerType=all_reviews"
"1596581733-580","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Athena","Easy installation/works perfectly / lifetime warranty!","Calificado en Estados Unidos el 21 de enero de 2020","This works great! I always get nervous installing these screen protectors because bubbles and trapped lint drive me insane! I watched the video, followed the directions and no problems at all! Works great! And there's a lifetime warranty so be sure to email them within 14 days so you are covered! Thank you for a great product, great instructions and easy installation. I'm very happy!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_58?ie=UTF8&pageNumber=58&reviewerType=all_reviews"
"1596582302-2886","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Chad12420","Oddly this one did not go on as easily as the 12","Calificado en Estados Unidos el 24 de abril de 2017","Oddly this one did not go on as easily as the 12.9 version did. I had to send the first one back and give it another try - got it the second time. No bubbles or dust. It looks perfect","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_289?ie=UTF8&pageNumber=289&reviewerType=all_reviews"
"1596582739-4716","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Darrell Bagent","Great protector!","Calificado en Estados Unidos el 5 de mayo de 2019","Works just great. Everything as expected.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_472?ie=UTF8&pageNumber=472&reviewerType=all_reviews"
"1596582110-2103","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","leashells","You won't even notice its there!","Calificado en Estados Unidos el 6 de febrero de 2017","This was relatively easy to install and protected my device well.  The protector did not diminish the sharp clear picture of the iPad pro.  It also worked just fine with the Apple Pencil. Honestly I forget it's even on my iPad pro!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_211?ie=UTF8&pageNumber=211&reviewerType=all_reviews"
"1596581787-811","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Taraina Roy","If you have a permanent case attached to your IPad, this WON'T work. It just doesn't fit.","Calificado en Estados Unidos el 30 de agosto de 2018","It would be AN AWESOME PRODUCT if my company that I work for hadn't had my IPad delivered to me with a drop case that's not removable. I'm going to have to send yhis amazing product back for this reason only. Not happy they gave me the IPad that I can't remove the case from to install your product!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_82?ie=UTF8&pageNumber=82&reviewerType=all_reviews"
"1596581717-510","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cindy","Great price and fantastic protection","Calificado en Estados Unidos el 28 de agosto de 2018","Replacing a broken SPARIN Tempered Glass Screen Protector I had on purchased about a year ago for my IPad Pro. Do have a Otterbox case for my tablet, replaced the plastic screen with SPARIN Tempered Glass Screen Protector.
Dropped my iPad Pro and the screen tapped hard against the metal bed frame. Saved my iPad from any damage but the temper glass not so well. The SPARIN Tempered Glass Screen Protector is worth the price for protection for my IPad Pro.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&pageNumber=51&reviewerType=all_reviews"
"1596581778-778","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Herbert Dicker","Great product and better customer service.","Calificado en Estados Unidos el 3 de marzo de 2019","My first effort with this product was not successful as I was left with air bubbles and dust spots that wouldn't go away, despite following instructions.  The seller responded promptly and sent a replacement, which I just installed successfully.  It went on without a hitch, there are no air bubbles, and it looks terrific.  I  highly recommend this product, but be sure to view the YouTube install video prior to using.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&pageNumber=78&reviewerType=all_reviews"
"1596581706-454","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","fantastic protection","Calificado en Estados Unidos el 30 de abril de 2020","The screen protector had been in place for 18 months paired with the Fintie Case for IPad.  I inadvertently placed my IPad on the hood of my car and started driving down the street. After a half mile at 40 mph, the IPad flew off the hood and crashed On the road surface. I was able to stop and retrieve the IPad before a car ran over it, but there were multiple cracks all over the screen. I assumed the screen itself was cracked, but I ordered another of the same screen protector. And amazingly when I removed this screen protector, it was cracked in many places all the way through, but my IPad screen was pristine! Really unbelievable that this screen protector worked so perfectly in this situation.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1596581913-1292","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","It’s Easy To Install And Has Saved My iPad","Calificado en Estados Unidos el 15 de noviembre de 2018","I have purchased 3 of these to protect all of my iPads.  I dropped one of my iPads and the tempered glass screen protector shattered saving my $450.00 iPad.  It’s easy to install and looks great.  I highly recommend this product.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_130?ie=UTF8&pageNumber=130&reviewerType=all_reviews"
"1596582668-4404","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","A. Roland Bessette","Great Product","Calificado en Estados Unidos el 9 de mayo de 2018","Received it on time and was very easy to install. You can't even tell it's there.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_441?ie=UTF8&pageNumber=441&reviewerType=all_reviews"
"1596582773-4856","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Terrie K","Easy to install","Calificado en Estados Unidos el 2 de julio de 2019","I used this product to cover my Ipad's glass. The instruction suggestd to view the instruction video, but it was easy to install by just reading the written instructions.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_486?ie=UTF8&pageNumber=486&reviewerType=all_reviews"
"1596582477-3592","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","DC Hamilton","Worth the Money-Great Product","Calificado en Estados Unidos el 17 de noviembre de 2016","Excellent screen protector.  This was the 1st time I purchased from this vendor and I am extremely pleased with the product and how my new iPad Pro looks after installing.  I highly recommend this product.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_360?ie=UTF8&pageNumber=360&reviewerType=all_reviews"
"1596582381-3201","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","C. Sias","Easy to apply","Calificado en Estados Unidos el 9 de marzo de 2020","It was easy to put on and really does protect the screen.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_321?ie=UTF8&pageNumber=321&reviewerType=all_reviews"
"1596582762-4809","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","joseph r.","A","Calificado en Estados Unidos el 1 de noviembre de 2018","Must have","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_481?ie=UTF8&pageNumber=481&reviewerType=all_reviews"
"1596582755-4780","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tim E.","To small","Calificado en Estados Unidos el 18 de marzo de 2020","Not right one. The info on web site said it was my iPad and yet it was to small.","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_478?ie=UTF8&pageNumber=478&reviewerType=all_reviews"
"1596582372-3178","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","C. Fernandez","Easy to install!","Calificado en Estados Unidos el 11 de septiembre de 2019","Works great - arrived quickly!","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_318?ie=UTF8&pageNumber=318&reviewerType=all_reviews"
"1596582082-1985","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","AMcD","Pits and Lint","Calificado en Estados Unidos el 21 de septiembre de 2019","This screen was pockmarked and wouldn't adhere where the defects were. Too much lint, too. Returned.","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_199?ie=UTF8&pageNumber=199&reviewerType=all_reviews"
"1596582257-2715","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Keep looking","Calificado en Estados Unidos el 5 de junio de 2019","I’ve put on countless screen protectors so it’s not my first time by a long shot. The bubbles are impossible to get out. I might drop the iPad just so I can replace it.","2.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_272?ie=UTF8&pageNumber=272&reviewerType=all_reviews"
"1596582207-2503","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","I was so excited for the package to arrive, ...","Calificado en Estados Unidos el 1 de julio de 2017","I was so excited for the package to arrive, and once I got to see my items for my iPad I hurried to get them opened up and put it on and together. As for my husband he doesn't get overly excited for new stuff as I do, and your screen protector for the iPads and iPhone 7plus","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_251?ie=UTF8&pageNumber=251&reviewerType=all_reviews"
"1596581842-1012","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","MK","Good Screen Protector !!","Calificado en Estados Unidos el 15 de septiembre de 2019","It’s been a while, I changed my new iPad and installed this screen protector and I must say content with my purchase so far.  Protector is easy to apply though in first attempt few bubbles trapped in lower portion during the installation, so I immediately pulled it back a little bit and reinstalled removing the air bubbles using the bubble remover card came with the package so it ended well with no air bubbles. Material quality is good & I found it to be scratch resistant.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_102?ie=UTF8&pageNumber=102&reviewerType=all_reviews"
"1596582409-3313","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Miosoti","Perfecto","Calificado en Estados Unidos el 29 de octubre de 2019","Perfecto","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_332?ie=UTF8&pageNumber=332&reviewerType=all_reviews"
