web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1596581611-33","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cute 58","Mostly Crap","Calificado en Estados Unidos el 25 de febrero de 2019","Folks giving this a  great review must not have been able  to compare this to the screen savers of years ago.  Most of these things, including this one is made to be as  cheap as possible and most profit.  I ripped this one off my iPad and threw it in the trash.  Not even worth returning.

What I don't like.... too glossy and not matt finish so a lot of glare.  It's not glass and falsely implied in the ad and on the box.  It is a polycarbonate.  Thus it is very static like when installing and attracts dust that you must be super careful to remove during installation.  It leaves even more fingerprints than by using the iPad directly.  It's also just a bit too large.  They try to go edge to edge on the iPad so when putting the iPad in a tight case, the edges of the product  are pushed up or in with pressure and come away from the surface slightly.  It also annoys me that when pressing the home button, I feel the edges of the cutout circle as the product is thick.

I'll go back to try and find the older style very think coatings that don't have the above problems.  They might be a bit more delicate to install, but none of the downsides.  I already have a case that mainly protects the iPad so this this plastic is a nuisance.","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1596581618-61","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cackalacky","Jury's still out on this one ...","Calificado en Estados Unidos el 6 de enero de 2019","I bought this to put on my son's new iPad 6th Gen tablet. I followed the directions exactly ... washing hands first, putting on the 'hinge' stickers, prepping the surfaces exactly. The iPad's screen was spotless, however when I pulled off the protective film from the backside of the protector, there was a tiny (like microscopic) piece of dust or lint on it (not the iPad screen, the protector). I don't know if it was just bad luck that it got there in that moment, or if it was on the protector to begin with, but it made an ugly bubble once the screen laid down. I had to remove the protector and try again, and it wouldn't come off and there were three new bubbles around the edges - I decided to stop trying to make it perfect, and just live with it. My concern is more of protection than aesthetics - after all this is for my son. None of the bubble are over the screen portion.

I'm usually good with things like alignment and precision, but you almost need to do this in a clean room to get it to work like the pictures and videos show. If I was using this professionally where appearances matter, I wouldn't recommend spending money on this unless you have a professional do it for you. Rather I'd just get a good folding case and be careful with it. But I am hopeful that the value is in how well it protects, and time will tell if that's the case.

Also, if you plan on putting your iPad in a tight-fitting case (my son's is in a keyboard case), I would NOT recommend trying to put the protector on first and then put the iPad in the case. My experience was that caused the protector to shift around.","3.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1596581622-90","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","mk","Great product","Calificado en Estados Unidos el 19 de agosto de 2017","This is a great product. I have use it before. I'm giving four stars instead of five because I wished they had warned to be careful to put the guides on the right side of the screen protector. I did not notice it put them on the wrong side and there was no return from that mistake. Still, I managed to get the glass on perfect without the guides. They are a great idea and would have been helpful. I will always buy this brand because it's pretty much fool proof. Maybe I should also mention one time my puppy jumped up on the bed and skidded across me and the iPad and scratched the glass protector and of course the iPad was protected by this product. It really is important to have one.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1596581615-59","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","bhaughery","The protector itself seems very nice. The cut out for the home button was ...","Calificado en Estados Unidos el 14 de septiembre de 2017","The packaging and instructions were top notch. The protector itself seems very nice. The cut out for the home button was not ""on center"". It was slightly offset from the actual home button. I may be picky by it seems a simple fix would be making the hole a little bigger. It is unpleasant to feel the edge of the cut out every time you touch the home button. Also, I wasn't expecting the entire top of the screen protector would be cut short to accommodate the face camera hole. Seems a simple fix to just cut out around the hole so the screen protector covers more of the top of the screen. As it is the screen protector stops about 1/2"" from the top of the iPad. I will be returning this.
UPDATE: in my initial review I critiqued the size of the screen not covering the entire screen. While in function this may be true it makes little difference in the long run. When I finally installed it the process was simple. Not sure why folks are complaining about bubbles. For me there were none. I am supposing the negative reviews have more to do with user error than the product itself. This product is going to preserve the resale value of my iPad 100 times over. Very happy.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1596581609-21","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Healthy Living LA","Cheap junk, bought two and both had bubbles that would not go away...","Calificado en Estados Unidos el 11 de febrero de 2018","This is a terrible item. I bought this once in December for a new iPad and when I applied the tempered glass following all the instructions there were two bubbles under the glass that would not go away. I returned that one as I thought maybe I had received a defective one. I purchased another one and just put it on and the same thing happened but this time there were several huge bubbles under the glass that would not go away. I am a tech person and have applied several other tempered glass products to other devices such as iPads and iPhones and have had no issues at all. I am an Amazon prime member and this is one of the worst experiences I have had with a Prime product. I waited a little too long to put the glass on the iPad and so I am past the 30 day periods to return this second one, otherwise I would be returning it too. This product is simply cheap and not made well. Do not waste your money here.","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1596581638-159","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Megan Dixon","Glass is warped or faulty!","Calificado en Estados Unidos el 30 de julio de 2019","This screen protector seems to be warped or I got a faulty product. I had it placed by a person that put screen protectors on as their job and it appears to be placed on correctly. The home button is perfectly centered in the circle, the sides seem even and aligned. However the top left corner will not go down at all! If I push VERY hard on the corner the middle of the left side pops up. Even if I manage force all the air out on the entire left side and get it flat as soon as I release the pressure on it the screen protector pops back up on the left corner leaving an air pocket. Very disappointed.","1.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1596581653-213","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nick Reddick","Excellent customer service.  Solid product.","Calificado en Estados Unidos el 2 de abril de 2018","Updated review.  After contacting support regarding the issues I had, I received a prompt response and a replacement product.  This installation went much better, with no stray red fibers. The replacement product also doesn’t seem to have the same attraction to all things dust.

I am changing my rating based on the my revised experience.  Customer service was courteous and prompt.

Because of my initial experience, I am holding back the fifth star.

My original review is below.
———————————————————————-

This appears to be a nice, high quality protector.

Unfortunately the installation is not as they say.

It bubbles, the corners lift, and strange red fibers appeared on the protector itself.

I may have had a bad one.

I did attempt the recommended relift/replace procedure, however the protector attracts dust ( electrostatic ? ) and both sides of the protector became coated with dust.

It does seem to attract dust to the surface, which isn’t helpful.

Unfortunately I cannot rate the durability, as the product was not able to be properly installed.

The last thing I want is a perpetually obscured screen.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1596581627-108","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jacqueline E","Perfect","Calificado en Estados Unidos el 17 de junio de 2019","First of all -the customer service with this product is excellent.  It's a little difficult to put on if you have never done this before.  It's why the big box stores charge so much for the item and to install!!  But you can do it - just read instructions and watch YouTube - then watch YouTube again.  My husband watched several videos and that helped immensely.  As for doing what the product is meant to do (to make sure your actual screen doesn't smash if dropped) I don't know and hopefully will never test this feature.  But it seems just as good or better than one bought and installed on another IPad at the store (for 1/6 the price!!)","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1596581650-201","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","junichiroaki","Great screen protector.","Calificado en Estados Unidos el 11 de junio de 2016","I really enjoy this protector so far. It covers the entire glass almost seamlessly. There's a tiny gap on one side but it's unnoticeable with my covers on. The edges are rounded and smooth so using the button isn't irritating.

The protector was really easy to apply, much easier than my phone's protector. It comes with the standard wet and dry wipes, microfibre cloth and squeegee card. I didn't even need the card. I laid it down button edge first and let it fall. A slight push in the middle made all the bubbles go away.

The protector's oleophobic properties are working great so far, much better than the original screen. There are still a few smudges here and there, but I clean my screen a whole lot less now. I use a generic stylus sometimes to reduce fingerprints but now I use my fingers more because there are less prints. Oh yeah, the protector doesn't affect the function of my stylus either.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews"
"1596581624-93","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","lockback","One of the easiest applications I've experienced","Calificado en Estados Unidos el 26 de octubre de 2018","Teh YouTube video is a big help.  Watch before to apply the screen protector.

The ""hinges"" really help!  Simple idea that really works.  I still had to adjust as I was placing the protector.
Even after wiping and cleaning the screen I still managed to get a few dust particles caught between the screen and protector.  I peeled the protective screen up and used the sticky ""dust-absorber"" to pull the dust particles off the sticky side of the protector.  Worked like a charm!  Whew!  So all told, once I aligned, hinged, reset, re-cleaned and such - about 20 minutes - and a great finish with my iPod well protected.  Would by again.

I suspect any difficulties I have are due to the fact that I put one of these on once ever couple of years.  So, not much practice.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1596581622-85","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Pete","This protector literally saved me hundreds of dollars","Calificado en Estados Unidos el 27 de septiembre de 2017","A week after buying this I was listening to music on my ipad with headphone plugged in it.  The ipad was sitting on my desk, after half an hour I go and pick up a pen that rolled on the floor, the cord got stuck in the arm rest of my chair and when I turned the chair it yanked the ipad off the desk and it went screen first into the floor and made noise even with headphones on.  My heart sank the second I heard the noise, I pick it up and the first thing I notice are 3 big cracks.  I couldnt tell if it was the protector only or the screen too.  I slowly peeled the protector off and to my relief the screen was in the exact condition as it was when I put the protector on. I figured over time this protector would eventually get a scratch or two if I'm not lucky.  I've put these protectors on all my phones and never once did a drop from a few feet or sometimes even further leave any marks really.  This ipad I bought was only a few weeks old and without this protector I would be spending hundreds on a new screen.

The first thing I did after taking off the cracked protector was to come back here and order another one.  Until it arrives I'm keeping my ipad put away because I really dont want to take the chance of dropping it again on accident.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1596581611-34","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","N. Grimm","Adhesive side arrived dusty/fuzzy (UPDATED review)","Calificado en Estados Unidos el 22 de diciembre de 2018","Ordered this to go with my son's new iPad for Christmas. Having a 5 year old...screen protector is a must. I usually go with a diff brand but having the Holiday time crunch and after reading reviews, I went with this product. The protector states its glass, but mine is plastic. Christmas is a few days away so I thought to install anyways. Wasnt to happy to find the adhesive side was already smattered w a fuzzy type particulate under the protective film (sandwiched between screen protector and plastic film). I used the ""dust absorber"" sticker gently to get as much off as possible and applied ""glass"" protector. Corners wont adhere and have bubbles. Will deal with it through Christmas and then buy a more trusted brand immediately after. Wouldnt reccomend this screen protector.
EDIT: Seller reached out to us and offered a replacement screen free of charge. Original review was 2 stars, have now bumped to 4 stars (1 star deduction still for inconvenience/product quality first time around). New screen was clean and actual glass. Applied easily/smoothly/cleanly. Would recommend quality of the new screen and was impressed with customer service.","4.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1596581615-55","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Viktoria","Unhappy","Calificado en Estados Unidos el 16 de febrero de 2019","It’s not glass at all, it’s flexible thick plastic.
Also, I read many reviews that said that no matter how much they cleaned they still got bubbles due to lint. Thats exactly what happened to me. I was installing protector onto my brand new iPad. Even though it was brand new, we still cleaned it. There was absolutely no lint or dust on it. We install this cover and there are 4 bubbles due to dust/lint trapped underneath. This cover I guess is static and attracts dust and lint and pulls it in not the sticky side. So now I have permanent bubbles.
So I am confused. This company reaches out to unhappy customers (which is nice) but keeps on selling effective product? Do you notice many many reviews dating their rating due to great customer service? How about getting product fixed so that it doesn't have static and attract dust/lint. How about product getting better instead of great customer service. Well, anyway I have bubbles and its awful.
Update: one big bubble is left, tiny ones disappeared. Still not good and distracting but at least is not many.","3.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1596581631-130","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Darcy","This was amazing. In the past i have HATED applying screen ...","Calificado en Estados Unidos el 20 de junio de 2017","This was amazing.  In the past I have HATED applying screen protectors, but this was a dream come true!  I followed their instructional video carefully:  Make hinge with stickers (to guide the sheet later).  Clean screen with the wet and dry wipes they provide.  Remove any final dust with their dust removal sticker.  Pull protective plastic off the glass sheet.  Swing glass screen protector into place and swipe it once, lengthwise across the center, with 1 finger.  Then I watched in amazement as the screen protector just sucked itself into place, eliminating all air underneath.  At first it looked like there might be a couple of bubbles near the edges but the thing just kept sucking itself tighter onto my ipad until it was perfectly sealed.  They do provide a ""push"" tool in case you need to work it yourself, but that wasn't needed.  I am amazed and delighted.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1596581648-194","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Rhetta","Do not use guide stickers then product works great!!","Calificado en Estados Unidos el 28 de agosto de 2018","I bought two of these - one for each of my kids school issued iPads.  One I did not use the guide stickers....I used packaging tape to create handles to position the screen protector on and it worked great!!!! I took packaging tape, folder first quarter over onto itself, stuck the rest to each end of the non-sticky side of the screen protector, removed after I had the screen protector on the iPad. The second one I used the guide stickers, which failed just as I flipped the screen protector onto the iPad......which meant I had to lift to reposition it. The seller worked with me to get this fixed, as the screen protector now had spots that would not re-stick. Awesome seller and awesome product.....if you don't use the guide stickers.","5.0 de 5 estrellas","Página siguiente→","https://www.amazon.com/-/es/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
